Time, Milliseconds," ""tia""       "," ""TIA_AM_SCHA""           "," ""tqi_gs_fast_dec"""," ""tqi_gs_fast_inc"""," ""pv_av""     "," ""LAMB_LS_UP[1]""           "," ""LAMB_LS_UP[2]""           "," ""state_eng"" "," ""teg_dyn_up_cat[1]"""," ""TEG_DYN_UP_CAT[2]""           "," ""fup""       "," ""fup_sp""    "," ""pump_vol_vcv"""," ""efppwm""    "," ""fup_efp""   "," ""iga_av_mv"" "," ""TI_1_HOM[0]""           "," ""TI_1_HOM[3]""           "," ""amp_mes""   "," ""map""       "," ""map_mes""   "," ""map_1_mes"" "," ""map_2_mes"" "," ""pdt_mes""   "," ""maf""       "," ""iga_ad_1_knk[0]"""," ""iga_ad_1_knk[1]"""," ""iga_ad_1_knk[2]"""," ""iga_ad_1_knk[3]"""," ""iga_ad_1_knk[4]"""," ""iga_ad_1_knk[5]"""," ""lamb_sp[1]"""," ""LAMB_SP[2]""           "," ""tqi_av""    "," ""gear""      "," ""vs""        "," ""CAM_SP_IVVT_IN""           "," ""map_sp""    "," ""rfp_sp""    "," ""Short Term Fuel Trim - Bank 1""           "," ""Long Term Fuel Trim - Bank 1""           "," ""Short Term Fuel Trim - Bank 2""           "," ""Long Term Fuel Trim - Bank 2""           "," ""Engine RPM""           "," ""Ignition Timing Advance for #1 Cylinder""           "," ""Ambient air temperature""           "," ""Commanded Throttle Actuator Control""           "
302.075,302075,42.0,36.0,1023.96875,0.0,11.71875,1.0146484,0.9970703,3,547.975,548.0375,33464.188,40023.297,12.353516,25.473022,5410.2026,22.5,0.776,0.72800004,1009.1063,321.88583,326.77798,326.94382,326.61212,302.48312,127.126305,0.0,0.0,0.0,0.0,0.0,0.0,0.99902344,0.99902344,75.03125,3,59,108.0,340.2106,71.70044,-17.96875,8.59375,-21.875,10.15625,2672.8777,21.0,24,5.882353
302.174,302174,42.0,36.0,1023.96875,0.0,12.3046875,1.0087891,0.99609375,3,547.6,547.6625,43143.65,43905.16,6.903076,25.610352,5301.415,20.625,0.76000005,0.73600006,1009.1063,339.2156,346.3465,346.01483,346.6782,314.50616,136.96068,0.0,0.0,0.0,0.0,0.0,0.0,0.9980469,0.9980469,82.28125,3,59,103.875,351.90198,71.520996,-17.1875,8.59375,-21.875,10.9375,2677.8774,20.5,24,5.882353
302.274,302274,42.0,36.0,1023.96875,0.0,12.5,0.97753906,0.99316406,3,548.0375,548.0375,43064.047,44682.598,7.598877,25.675964,5176.707,21.0,0.768,0.768,1009.1063,349.99487,355.38452,355.38452,355.38452,326.61212,139.99153,0.0,0.0,0.0,0.0,0.0,0.0,0.9980469,0.9980469,84.5,3,59,101.25,359.28165,71.34155,-17.96875,8.59375,-21.09375,10.9375,2679.8774,21.5,24,6.27451
302.375,302375,42.0,36.0,1023.96875,0.0,12.988281,1.0058594,1.0302734,3,548.725,548.6,45733.33,45741.29,7.131958,25.78888,5097.106,21.0,0.772,0.772,1009.1063,358.45245,360.77417,360.35956,361.18875,328.4363,141.70831,0.0,0.0,0.0,0.0,0.0,0.0,0.9980469,0.9980469,84.84375,3,59,98.625,370.8072,71.16211,-18.75,8.59375,-19.53125,10.9375,2680.8772,21.5,24,6.666667
302.475,302475,42.0,36.0,1023.96875,0.0,13.671875,1.0351562,1.0224609,3,549.225,549.225,45298.176,47253.703,8.622742,25.953674,5057.3057,22.125,0.81600004,0.82000005,1009.1063,367.49048,372.4655,372.29968,372.7143,339.6302,147.4521,0.0,0.0,0.0,0.0,0.0,0.0,0.9980469,0.9980469,88.0,3,59,94.875,419.81143,70.982666,-17.1875,8.59375,-18.75,10.9375,2685.877,23.0,24,7.4509807
302.575,302575,42.0,36.0,1023.96875,0.0,14.550781,1.0273438,1.0117188,3,549.7875,549.7875,48206.26,48243.406,8.129883,26.05896,5046.6924,22.875,0.88400006,0.86,1009.1063,387.3907,393.44366,393.02908,393.85825,361.02292,155.5909,0.0,0.0,0.0,0.0,0.0,0.0,0.9970703,0.9970703,94.1875,3,59,94.5,432.74658,70.80322,-15.625,8.59375,-17.1875,10.9375,2695.8765,23.0,24,7.4509807
302.674,302674,42.0,36.0,1023.96875,0.0,15.332031,1.0302734,1.0458984,3,549.85,549.975,51055.97,49617.848,7.873535,26.164246,5012.1987,22.875,0.952,0.93200004,1009.1063,411.76843,415.58264,416.24597,414.9193,380.7573,167.26923,0.0,0.0,0.0,0.0,0.0,0.0,0.99609375,0.99609375,101.5,3,59,94.125,439.87747,70.62378,-14.0625,9.375,-14.84375,10.9375,2704.8762,22.5,24,7.4509807
302.774,302774,42.0,36.0,1023.96875,0.0,15.527344,1.0351562,1.0751953,3,550.35,550.35,52356.117,50907.383,8.1970215,26.296997,4985.665,22.125,1.0,1.0,1009.1063,434.57077,431.08823,430.34195,431.83447,393.36075,171.76251,0.0,0.0,0.0,0.0,0.0,0.0,0.99609375,0.99609375,103.03125,3,59,93.375,456.37805,70.444336,-12.5,9.375,-11.71875,10.9375,2713.8757,22.5,24,7.8431373
302.874,302874,42.0,36.0,1023.96875,0.0,16.015625,1.0380859,1.0839844,3,551.2875,551.1625,52796.574,51440.707,8.299255,26.470947,4983.0117,22.5,1.0200001,1.036,1009.1063,443.60876,439.21414,437.72162,440.70667,405.05212,177.20958,0.0,0.0,0.0,0.0,0.0,0.0,0.9951172,0.9951172,106.59375,3,60,93.0,461.43604,70.26489,-10.9375,9.375,-9.375,10.9375,2719.8755,22.0,24,7.8431373
302.974,302974,42.0,36.0,1023.96875,0.0,16.210938,1.0351562,1.0566406,3,552.35,552.35,54515.953,52756.773,8.383179,26.8219,5004.239,22.125,1.088,1.1,1009.1063,457.5389,450.98843,450.32507,451.73468,411.43677,181.49092,0.0,0.0,0.0,0.0,0.0,0.0,0.9951172,0.9951172,108.71875,3,60,93.0,467.4061,70.08545,-9.375,9.375,-8.59375,10.9375,2735.8748,22.0,24,7.8431373
